Listing_Postion,Title,Brand,MRP,Price,Count_of_Rating,Count_of_reviews,Average_Rating_Score,Product_URL,Image_URL
50,LG NANO75 108 cm (43 inch) 4K Ultra HD Nano Cell WebOS TV with Voice Assistance (2022 model),LG ,61990.0,52990.0,5.0,4.0,4.8,https://www.croma.com/lg-nano75-108-cm-43-inch-4k-ultra-hd-nano-cell-webos-tv-with-voice-assistance-2022-model-/p/257220,/lg-nano75-108-cm-43-inch-4k-ultra-hd-nano-cell-webos-tv-with-voice-assistance-2022-model-/p/257220
51,LG UQ80 189 cm (74 inch) 4K Ultra HD LED WebOS TV with Voice Assistance (2022 model),LG ,224990.0,157990.0,7.0,7.0,4.7,https://www.croma.com/lg-uq80-189-cm-74-inch-4k-ultra-hd-led-webos-tv-with-voice-assistance-2022-model-/p/257198,/lg-uq80-189-cm-74-inch-4k-ultra-hd-led-webos-tv-with-voice-assistance-2022-model-/p/257198
52,LG UQ80 177 cm (70 inch) 4K Ultra HD LED WebOS TV with Voice Assistance (2022 model),LG ,164990.0,105990.0,3.0,3.0,4.7,https://www.croma.com/lg-uq80-177-cm-70-inch-4k-ultra-hd-led-webos-tv-with-voice-assistance-2022-model-/p/257197,/lg-uq80-177-cm-70-inch-4k-ultra-hd-led-webos-tv-with-voice-assistance-2022-model-/p/257197
53,LG UQ80 126 cm (50 inch) 4K Ultra HD LED WebOS TV with Voice Assistance (2022 model),LG ,72990.0,50490.0,16.0,15.0,4.1,https://www.croma.com/lg-uq80-126-cm-50-inch-4k-ultra-hd-led-webos-tv-with-voice-assistance-2022-model-/p/257196,/lg-uq80-126-cm-50-inch-4k-ultra-hd-led-webos-tv-with-voice-assistance-2022-model-/p/257196
54,LG UQ80 164 cm (65 inch) 4K Ultra HD LED WebOS TV with Voice Assistance (2022 model),LG ,124990.0,84990.0,19.0,19.0,4.5,https://www.croma.com/lg-uq80-164-cm-65-inch-4k-ultra-hd-led-webos-tv-with-voice-assistance-2022-model-/p/257195,/lg-uq80-164-cm-65-inch-4k-ultra-hd-led-webos-tv-with-voice-assistance-2022-model-/p/257195
55,SONY X80K Series 189 cm (75 inch) 4K Ultra HD LED Google Android TV with Voice Assistance (2022 model),Sony ,269900.0,151990.0,6.0,6.0,4.8,https://www.croma.com/sony-x80k-series-189-cm-75-inch-4k-ultra-hd-led-google-android-tv-with-voice-assistance-2022-model-/p/256873,/sony-x80k-series-189-cm-75-inch-4k-ultra-hd-led-google-android-tv-with-voice-assistance-2022-model-/p/256873
56,SONY X80K Series 163.9 cm (65 inch) 4K Ultra HD LED Google Android TV with Voice Assistance (2022 model),Sony ,164900.0,96890.0,18.0,17.0,4.6,https://www.croma.com/sony-x80k-series-163-9-cm-65-inch-4k-ultra-hd-led-google-android-tv-with-voice-assistance-2022-model-/p/257131,/sony-x80k-series-163-9-cm-65-inch-4k-ultra-hd-led-google-android-tv-with-voice-assistance-2022-model-/p/257131
57,SONY Bravia 108 cm (43 inch) 4K Ultra HD LED Google Android TV with Voice Assistance (2022 model),Sony ,99900.0,66490.0,12.0,12.0,4.3,https://www.croma.com/sony-bravia-108-cm-43-inch-4k-ultra-hd-led-google-android-tv-with-voice-assistance-2022-model-/p/253065,/sony-bravia-108-cm-43-inch-4k-ultra-hd-led-google-android-tv-with-voice-assistance-2022-model-/p/253065
58,SONY Bravia X80K 125.7 cm (50 inch) 4K Ultra HD LED Google Android TV with Voice Assistance (2022 model),Sony ,114900.0,74090.0,3.0,3.0,5.0,https://www.croma.com/sony-bravia-x80k-125-7-cm-50-inch-4k-ultra-hd-led-google-android-tv-with-voice-assistance-2022-model-/p/256346,/sony-bravia-x80k-125-7-cm-50-inch-4k-ultra-hd-led-google-android-tv-with-voice-assistance-2022-model-/p/256346
59,SONY Bravia XR 163.9 cm (65 inch) 4K Ultra HD LED Google Android TV with Voice Assistance (2022 model),Sony ,229900.0,142490.0,6.0,6.0,4.8,https://www.croma.com/sony-bravia-xr-163-9-cm-65-inch-4k-ultra-hd-led-google-android-tv-with-voice-assistance-2022-model-/p/256348,/sony-bravia-xr-163-9-cm-65-inch-4k-ultra-hd-led-google-android-tv-with-voice-assistance-2022-model-/p/256348
